energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta,elapsed_s,net_uAh,rapl_J,vol_cs
322055877.0,16083658666,16.01000000000022,0.2199999999999988,0.1400000000001,177.07000000000698,0.0699999999999931,0.0,0.009999999999998,0.0,0.0,0.0,2097152,33,0,4028,1,18000,0,2,16.083658666,13707.249778947817,322055877.0,33
320361240.0,16107364732,15.930000000000293,0.0100000000000051,0.1200000000001182,177.3299999999872,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,524288,39,0,4028,1,0,0,0,16.107364732,-4299.077402085743,320361240.0,39
311267879.0,16086211433,16.00999999999931,0.0,0.1099999999998999,176.9200000000128,0.0,0.0,0.0,0.0,0.0,0.0,393216,39,0,4028,1,20000,0,0,16.086211433,15706.56844198767,311267879.0,39
319703771.0,15805188434,15.670000000000073,0.2099999999999937,0.2000000000000454,174.20000000001164,0.0999999999999659,0.0,0.0,0.0,0.0,0.0,2097152,46,0,4028,1,18000,0,3,15.805188434,13781.573859979297,319703771.0,46
315704758.0,15878885479,15.829999999999927,0.0,0.1200000000001182,174.60999999998603,0.0400000000000204,0.0,0.009999999999998,0.0,0.0,0.0,262144,36,0,4028,1,0,0,0,15.878885479,-4238.095980868757,315704758.0,36
306601754.0,16390693302,16.329999999999927,0.0,0.1299999999998817,180.1699999999837,0.0400000000000204,0.0,0.0,0.0,0.0,0.0,393216,40,0,4028,1,19000,0,1,16.390693302,14625.301819908753,306601754.0,40
300951500.0,16693530013,16.609999999998763,0.220000000000013,0.2100000000000363,183.70999999999185,0.1100000000000136,0.0,0.009999999999998,0.0,0.0,0.0,2097152,38,0,4028,1,18000,0,3,16.693530013,13544.474292722036,300951500.0,38
307551397.0,16368074878,16.329999999999927,0.0,0.1300000000001091,179.86000000001513,0.0200000000000386,0.0,0.0,0.0,0.0,0.0,524288,42,0,4028,1,17000,0,0,16.368074878,12631.338707823508,307551397.0,42
316720381.0,16042917489,15.989999999999782,0.0099999999999909,0.1399999999998726,176.29999999998836,0.0200000000000386,0.0,0.0,0.0,0.0,0.0,0,39,0,4028,1,0,0,1,16.042917489,-4281.876345884564,316720381.0,39
313642691.0,16534603489,16.469999999999345,0.2300000000000039,0.1899999999998272,181.76999999998952,0.0600000000000022,0.0,0.0,0.0,0.0,0.0,1966080,26,0,4028,1,19000,0,2,16.534603489,14586.891996628814,313642691.0,26
317757548.0,15920641599,15.790000000000871,0.0099999999999909,0.1300000000001091,175.19000000000233,0.0199999999999818,0.0,0.0100000000000051,0.0,0.0,0.0,393216,35,0,4028,1,18000,0,0,15.920641599,13750.759254306111,317757548.0,35
318805154.0,16040064751,15.979999999999563,0.0,0.1399999999998726,176.38000000000466,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,393216,35,0,4028,1,0,0,0,16.040064751,-4281.114946259366,318805154.0,35
316866681.0,16129300566,16.139999999999418,0.1799999999999926,0.1599999999998544,177.42999999999302,0.0900000000000318,0.0,0.0,0.0,0.0,0.0,2097152,40,0,4028,1,18000,0,3,16.129300566,13695.067894192427,316866681.0,40
313860769.0,15986722422,15.960000000000946,0.0100000000000051,0.1200000000001182,175.55999999999767,0.0300000000000295,0.0,0.0,0.0,0.0,0.0,524288,25,0,4028,1,19000,0,0,15.986722422,14733.122193396566,313860769.0,25
314598010.0,16081557404,16.06999999999971,0.0,0.1199999999998908,176.64000000001397,0.0200000000000386,0.0,0.009999999999998,0.0,0.0,0.0,393216,35,0,4028,1,18000,0,1,16.081557404,13707.810608613647,314598010.0,35
317782268.0,16121449584,16.1299999999992,0.2300000000000039,0.1699999999998453,177.2399999999907,0.1099999999999568,0.0,0.0,0.0,0.0,0.0,1966080,29,0,4028,1,0,0,2,16.121449584,-4302.836668107989,317782268.0,29
303660599.0,16487887581,16.3700000000008,0.0,0.1200000000001182,181.4100000000035,0.0199999999999818,0.0,0.0,0.0,0.0,0.0,393216,40,0,4028,1,19000,0,1,16.487887581,14599.360535569993,303660599.0,40
315402147.0,16059369859,16.05999999999949,0.0,0.1299999999998817,176.46000000002095,0.0200000000000386,0.0,0.0,0.0,0.0,0.0,131072,43,0,4028,1,18000,0,1,16.059369859,13713.732494341346,315402147.0,43
310340759.0,16433152660,16.340000000000146,0.2100000000000079,0.1699999999998453,180.85999999998603,0.1200000000000045,0.0,0.0200000000000031,0.0,0.0,0.0,1966080,37,0,4028,1,0,0,2,16.43315266,-4386.030640088397,310340759.0,37
301528830.0,16562058442,16.420000000000073,0.0,0.1800000000000636,182.07000000000696,0.0299999999999727,0.0,0.0,0.0,0.0,0.0,655360,37,0,4028,1,18000,0,1,16.562058442,13579.564232591587,301528830.0,37
298769377.0,16508271957,16.36999999999898,0.0,0.1300000000001091,181.6600000000035,0.0,0.0,0.009999999999998,0.0,0.0,0.0,0,35,0,4028,1,18000,0,0,16.508271957,13593.919918083811,298769377.0,35
