run_uuid,func_name,energy_j,elapsed_ns
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,63842.0,8006766
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,54687.0,8135054
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,51941.0,8354538
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,50354.0,9190522
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,89538.0,8399843
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,47241.0,6729595
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,54871.0,7121294
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,49987.0,8327773
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,94543.0,8117617
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,83618.0,7052458
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,60241.0,8332573
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,52429.0,6288024
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,47424.0,6533280
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,45837.0,6549786
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,61768.0,6180174
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,51452.0,8318946
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,57555.0,8205237
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,59632.0,8417217
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,61097.0,5783274
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,54383.0,6919834
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,53833.0,7274043
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,89173.0,8353941
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,57862.0,9681052
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,105835.0,8056990
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,53222.0,8201766
