energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta,elapsed_s,net_uAh,rapl_J,vol_cs
307002387.0,15438021503,15.479999999999563,0.0,0.0799999999999272,169.79000000000815,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,0,25,0,32,1,18000,0,1,15.438021503,13879.571209770438,307002387.0,25
309111818.0,15475005094,15.529999999999744,0.2000000000000028,0.1200000000001182,170.4900000000198,0.0899999999999749,0.0,0.0,0.0,0.0,0.0,131072,28,0,32,1,0,0,2,15.475005094,-4130.299760618667,309111818.0,28
311669368.0,15565723952,15.61999999999989,0.0100000000000051,0.1099999999998999,171.01999999998952,0.0299999999999727,0.0,0.009999999999998,0.0,0.0,0.0,0,12,0,32,1,18000,0,1,15.565723952,13845.48725365338,311669368.0,12
286338012.0,17249491301,17.3100000000004,0.0,0.1100000000001273,189.5799999999872,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,0,25,0,32,1,17000,0,0,17.249491301,12396.087474055981,286338012.0,25
324091516.0,15781120427,15.840000000000146,0.1800000000000068,0.1600000000000818,173.82000000000698,0.0899999999999749,0.0,0.0,0.0,0.0,0.0,131072,26,0,32,1,18000,0,3,15.781120427,13787.997643554607,324091516.0,26
326641253.0,15993750245,16.030000000000655,0.0,0.1099999999998999,175.89999999999418,0.0,0.0,0.009999999999998,0.0,0.0,0.0,0,28,0,32,1,0,0,0,15.993750245,-4268.7535420541335,326641253.0,28
289153862.0,17426859376,17.469999999999345,0.0,0.1300000000001091,191.57000000000696,0.0199999999999818,0.0,0.0,0.0,0.0,0.0,0,25,0,32,1,18000,0,1,17.426859376,13348.747695279564,289153862.0,25
276889733.0,16640971227,16.6899999999996,0.2100000000000079,0.1800000000000636,182.81999999997788,0.0500000000000113,0.0,0.0,0.0,0.0,0.0,0,12,0,32,1,16000,0,2,16.640971227,11558.50230369299,276889733.0,12
314165029.0,15793849525,15.850000000000364,0.0,0.1099999999998999,173.6700000000128,0.0199999999999818,0.0,0.0,0.0,0.0,0.0,0,25,0,32,1,0,0,0,15.793849525,-4215.399769893915,314165029.0,25
308108830.0,15461074761,15.5,0.0,0.1100000000001273,170.02999999999884,0.0,0.0,0.009999999999998,0.0,0.0,0.0,0,25,0,32,1,17000,0,0,15.461074761,12873.418264073778,308108830.0,25
307570196.0,15419273520,15.460000000000036,0.1799999999999926,0.1199999999998908,169.9100000000035,0.079999999999984,0.0,0.0,0.0,0.0,0.0,131072,25,0,32,1,18000,0,3,15.41927352,13884.575071754754,307570196.0,25
302368183.0,16500105795,16.57000000000062,0.0100000000000051,0.1300000000001091,181.26999999998952,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,32,1,17000,0,0,16.500105795,12596.099477751086,302368183.0,25
307057014.0,16182432248,16.229999999999563,0.0,0.1099999999998999,177.77999999999884,0.0099999999999909,0.0,0.0100000000000051,0.0,0.0,0.0,0,26,0,32,1,0,0,0,16.182432248,-4319.1130234946995,307057014.0,26
309449525.0,15436277774,15.479999999999563,0.2199999999999988,0.1599999999998544,169.9099999999744,0.0699999999999931,0.0,0.0,0.0,0.0,0.0,131072,25,0,32,1,18000,0,1,15.436277774,13880.036613395672,309449525.0,25
309290529.0,15561098647,15.6200000000008,0.0,0.1300000000001091,171.05999999999767,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,0,26,0,32,1,18000,0,1,15.561098647,13846.721753804963,309290529.0,26
308181096.0,15492285602,15.579999999999927,0.0,0.1199999999998908,170.31999999997788,0.0,0.0,0.0,0.0,0.0,0.0,0,21,1,32,1,0,0,1,15.492285602,-4134.911951543467,308181096.0,21
312560418.0,15883191098,15.920000000000073,0.2100000000000079,0.1499999999998635,174.6699999999837,0.0699999999999931,0.0,0.0,0.0,0.0,0.0,131072,25,0,32,1,19000,0,2,15.883191098,14760.754843604838,312560418.0,25
312432550.0,16007454781,16.039999999999964,0.0,0.1100000000001273,175.8399999999965,0.0199999999999818,0.0,0.0,0.0,0.0,0.0,0,26,0,32,1,17000,0,0,16.007454781,12727.588698777688,312432550.0,26
310772277.0,15963134008,16.0,0.0,0.0899999999999181,175.25,0.0400000000000204,0.0,0.0,0.0,0.0,0.0,0,12,0,32,1,0,0,1,15.963134008,-4260.582027047578,310772277.0,12
277236412.0,16807749042,16.88000000000011,0.2100000000000079,0.1700000000000727,185.0,0.0800000000000409,0.0,0.009999999999998,0.0,0.0,0.0,131072,25,0,32,1,18000,0,2,16.807749042,13513.989079614112,277236412.0,25
279217913.0,16979577291,17.029999999999745,0.0,0.1200000000001182,186.64999999999415,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,0,27,0,32,1,17000,0,1,16.979577291,12468.12788787936,279217913.0,27
275972499.0,16755797069,16.8100000000004,0.0,0.1299999999998817,184.17999999999304,0.0299999999999727,0.0,0.0,0.0,0.0,0.0,0,25,0,32,1,16000,0,1,16.755797069,11527.855131375785,275972499.0,25
